Id,Ukrainian
DragonText,"Натисни на мене, щоб подивитися рекламу і отримати додаткове золото"
WhileYouWereAway,"Поки вас не було, ви заробили:"
EnglishLanguage,Англійська
UkrainianLanguage,Українська
RussianLanguage,Російська
Automation1,Сила кліку
Automation2,Робот-помічник
Automation3,Значковий майстер
Automation4,Якісніші матеріали
Automation5,Комфорт
Automation6,Майстер своєї праці
Automation7,Загін значкоробів
Automation8,Фабрика значків
Automation9,Автоматизована рука
Automation10,Офіс
Automation11,Автоматичний конвеєр
Automation12,Значковий гуру
