Id,Russian
DragonText,"Нажми на меня, чтобы посмотреть рекламу и получить дополнительное золото"
WhileYouWereAway,"Пока вас не было, вы заработали:"
EnglishLanguage,Английский
UkrainianLanguage,Украинский
RussianLanguage,Русский
Automation1,Сила клацания
Automation2,Робот-помощник
Automation3,Значковый мастер
Automation4,Качественные материалы
Automation5,Комфорт
Automation6,Мастер своего дела
Automation7,Отряд значкоделов
Automation8,Фабрика значков
Automation9,Автоматизированная рука
Automation10,офис
Automation11,Автоматический конвеер
Automation12,Значковый гуру
ExitPromt,"Вы уверены, что хотите выйти из игры?"
Yes,ДА
No,НЕТ
Settings,НАСТРОЙКИ
Level,Уровень
