Id,English
DragonText,Tap on me to watch an ad and get additional gold
WhileYouWereAway,While you were away your automation gained:
EnglishLanguage,English
UkrainianLanguage,Ukrainian
RussianLanguage,Russian
Automation1,Click power
Automation2,Робот-помощник
Automation3,Значковый мастер
Automation4,Качественные материалы
Automation5,Комфорт
Automation6,Мастер своего дела
Automation7,Отряд значкоделов
Automation8,Фабрика значков
Automation9,Автоматизированная рука
Automation10,офис
Automation11,Автоматический конвеер
Automation12,Значковый гуру
